original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,attack,dataset,words,nr_perturbations,len_sentence,perturbation_percentage
"Seattle may have just won the 2014 Super Bowl, but the Steelers [[still]] [[rock]] with six rings, [[Baby]]!!! Just stating what all Steeler fans know: a Steel [[Dynasty]] is still unmatched no matter what team claims the title of current Super Bowl Champs.. Go Steelers!!!","Seattle may have just won the 2014 Super Bowl, but the Steelers [[might]] [[stick]] with six rings, [[darling]]!!! Just stating what all Steeler fans know: a Steel [[era]] is still unmatched no matter what team claims the title of current Super Bowl Champs.. Go Steelers!!!",0.0001590251922607,0.6457757949829102,1,0,1,73,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Seattle', 'may', 'have', 'just', 'won', 'the', '2014', 'Super', 'Bowl,', 'but', 'the', 'Steelers', '[[might]]', '[[stick]]', 'with', 'six', 'rings,', '[[darling]]!!!', 'Just', 'stating', 'what', 'all', 'Steeler', 'fans', 'know:', 'a', 'Steel', '[[era]]', 'is', 'still', 'unmatched', 'no', 'matter', 'what', 'team', 'claims', 'the', 'title', 'of', 'current', 'Super', 'Bowl', 'Champs..', 'Go', 'Steelers!!!']",3,45,6.666666666666667
I will [[never]] [[forget]] [[Campiti's]]. [[As]] a youngster growing up playing on Potomac Avenue and Dormont. [[My]] favorite [[pizza]] was and still is Campiti's. [[I]] have not found an [[equal]] in the 18 years I have been in CA. [[The]] [[hoagies]] were pretty damn good too.,I will [[not]] [[memory]] [[campiti'jr]]. [[like]] a youngster growing up playing on Potomac Avenue and Dormont. [[i]] favorite [[joe]] was and still is Campiti's. [[and]] have not found an [[successor]] in the 18 years I have been in CA. [[those]] [[hoagiers]] were pretty damn good too.,0.0001463890075683,0.9127840995788574,1,0,1,117,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['I', 'will', '[[not]]', '[[memory]]', ""[[campiti'jr]]."", '[[like]]', 'a', 'youngster', 'growing', 'up', 'playing', 'on', 'Potomac', 'Avenue', 'and', 'Dormont.', '[[i]]', 'favorite', '[[joe]]', 'was', 'and', 'still', 'is', ""Campiti's."", '[[and]]', 'have', 'not', 'found', 'an', '[[successor]]', 'in', 'the', '18', 'years', 'I', 'have', 'been', 'in', 'CA.', '[[those]]', '[[hoagiers]]', 'were', 'pretty', 'damn', 'good', 'too.']",9,46,19.565217391304348
[[got]] the buffet pizza was good they [[also]] give you [[free]] soup to .,[[i]] the buffet pizza was good they [[did]] give you [[like]] soup to .,0.0040830969810485,0.7324979901313782,1,0,1,34,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[i]]', 'the', 'buffet', 'pizza', 'was', 'good', 'they', '[[did]]', 'give', 'you', '[[like]]', 'soup', 'to', '.']",3,14,21.428571428571427
"Cons:\n* Very [[cramped]] space, [[aisles]] are so [[narrow]] that you have to carry your case [[sideways]].\n* Only a few items were priced with signs hanging above them.\n* No shopping carts.\n\nPros:\n* Decent selection\n* Chilled section","Cons:\n* Very [[tight]] space, [[shops]] are so [[broad]] that you have to carry your case [[back]].\n* Only a few items were priced with signs hanging above them.\n* No shopping carts.\n\nPros:\n* Decent selection\n* Chilled section",0.0002679228782653,0.5159189701080322,0,1,0,70,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Cons:\\n*', 'Very', '[[tight]]', 'space,', '[[shops]]', 'are', 'so', '[[broad]]', 'that', 'you', 'have', 'to', 'carry', 'your', 'case', '[[back]].\\n*', 'Only', 'a', 'few', 'items', 'were', 'priced', 'with', 'signs', 'hanging', 'above', 'them.\\n*', 'No', 'shopping', 'carts.\\n\\nPros:\\n*', 'Decent', 'selection\\n*', 'Chilled', 'section']",3,34,8.823529411764707
"Something different here.\n\nFood, [[schmood]], go there and drink the beers from the beer cave.  I don't think you have to wait for the server to open your beer, they'll notice and charge your accordingly.  It's all walk in and self service beer, why don't more places do that?!\n\nMike","Something different here.\n\nFood, [[schmoid]], go there and drink the beers from the beer cave.  I don't think you have to wait for the server to open your beer, they'll notice and charge your accordingly.  It's all walk in and self service beer, why don't more places do that?!\n\nMike",0.000751793384552,0.998145341873169,1,0,1,60,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Something', 'different', 'here.\\n\\nFood,', '[[schmoid]],', 'go', 'there', 'and', 'drink', 'the', 'beers', 'from', 'the', 'beer', 'cave.', 'I', ""don't"", 'think', 'you', 'have', 'to', 'wait', 'for', 'the', 'server', 'to', 'open', 'your', 'beer,', ""they'll"", 'notice', 'and', 'charge', 'your', 'accordingly.', ""It's"", 'all', 'walk', 'in', 'and', 'self', 'service', 'beer,', 'why', ""don't"", 'more', 'places', 'do', 'that?!\\n\\nMike']",0,48,0.0
Food is delicious and staff is very prompt.  \n\nThe one thing I absolutely love about this restaurant is how clean the bathroom is!!!  I was completely stunned and [[amazed]] when I walked in.,Food is delicious and staff is very prompt.  \n\nThe one thing I absolutely love about this restaurant is how clean the bathroom is!!!  I was completely stunned and [[shocked]] when I walked in.,0.0002233386039733,0.7464452385902405,1,0,1,41,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Food', 'is', 'delicious', 'and', 'staff', 'is', 'very', 'prompt.', '\\n\\nThe', 'one', 'thing', 'I', 'absolutely', 'love', 'about', 'this', 'restaurant', 'is', 'how', 'clean', 'the', 'bathroom', 'is!!!', 'I', 'was', 'completely', 'stunned', 'and', '[[shocked]]', 'when', 'I', 'walked', 'in.']",1,33,3.0303030303030303
[[I]] [[got]] two [[pairs]] of [[shoes]] fixed here recently and I was very [[pleased]] with the [[work]] [[done]] and the [[cost]].  [[It]] is a great little business to have in the [[neighborhood]]! \nMake sure you call and check their hours... [[Saturdays]] are probably your best bet.,[[s]] [[had]] two [[heels]] of [[sandals]] fixed here recently and I was very [[excited]] with the [[service]] [[the]] and the [[money]].  [[that]] is a great little business to have in the [[section]]! \nMake sure you call and check their hours... [[these]] are probably your best bet.,0.0001462697982788,0.5944002866744995,1,0,1,123,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[s]]', '[[had]]', 'two', '[[heels]]', 'of', '[[sandals]]', 'fixed', 'here', 'recently', 'and', 'I', 'was', 'very', '[[excited]]', 'with', 'the', '[[service]]', '[[the]]', 'and', 'the', '[[money]].', '[[that]]', 'is', 'a', 'great', 'little', 'business', 'to', 'have', 'in', 'the', '[[section]]!', '\\nMake', 'sure', 'you', 'call', 'and', 'check', 'their', 'hours...', '[[these]]', 'are', 'probably', 'your', 'best', 'bet.']",9,46,19.565217391304348
[[The]] [[worst]] pulled pork sandwich I have ever had.    Their watermelon mixed [[drink]] was very [[good]] [[though]].  I won't be returning.,[[and]] [[best]] pulled pork sandwich I have ever had.    Their watermelon mixed [[bar]] was very [[great]] [[too]].  I won't be returning.,0.0001511573791503,0.5067567825317383,0,1,0,54,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[and]]', '[[best]]', 'pulled', 'pork', 'sandwich', 'I', 'have', 'ever', 'had.', 'Their', 'watermelon', 'mixed', '[[bar]]', 'was', 'very', '[[great]]', '[[too]].', 'I', ""won't"", 'be', 'returning.']",4,21,19.047619047619047
"Very [[nice]] cheap quick bus service to airport. (28X).  but i think i've found out what happens to all the old buses in Seattle, they are shipped to Pittsburgh, old polluting diesel buses seem to be the norm.\n\nthey also run the inclines, which are pretty cool if not old.","Very [[not]] cheap quick bus service to airport. (28X).  but i think i've found out what happens to all the old buses in Seattle, they are shipped to Pittsburgh, old polluting diesel buses seem to be the norm.\n\nthey also run the inclines, which are pretty cool if not old.",0.0012927055358886,0.999715268611908,1,0,1,58,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Very', '[[not]]', 'cheap', 'quick', 'bus', 'service', 'to', 'airport.', '(28X).', 'but', 'i', 'think', ""i've"", 'found', 'out', 'what', 'happens', 'to', 'all', 'the', 'old', 'buses', 'in', 'Seattle,', 'they', 'are', 'shipped', 'to', 'Pittsburgh,', 'old', 'polluting', 'diesel', 'buses', 'seem', 'to', 'be', 'the', 'norm.\\n\\nthey', 'also', 'run', 'the', 'inclines,', 'which', 'are', 'pretty', 'cool', 'if', 'not', 'old.']",1,49,2.0408163265306123
"The store is small, but it carries specialties that are difficult to find in Pittsburgh. I was particularly excited to [[find]] middle eastern chili sauce and chocolate covered Turkish delights.","The store is small, but it carries specialties that are difficult to find in Pittsburgh. I was particularly excited to [[visit]] middle eastern chili sauce and chocolate covered Turkish delights.",0.0101345181465148,0.5662535429000854,1,0,1,38,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['The', 'store', 'is', 'small,', 'but', 'it', 'carries', 'specialties', 'that', 'are', 'difficult', 'to', 'find', 'in', 'Pittsburgh.', 'I', 'was', 'particularly', 'excited', 'to', '[[visit]]', 'middle', 'eastern', 'chili', 'sauce', 'and', 'chocolate', 'covered', 'Turkish', 'delights.']",1,30,3.3333333333333335
[[Salami]] and [[cheese]] is so [[amazing]]. [[Best]] food in the [[city]]!,[[salsalad]] and [[bread]] is so [[and]]. [[most]] food in the [[night]]!,0.0001453161239624,0.8342490792274475,1,0,1,45,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[salsalad]]', 'and', '[[bread]]', 'is', 'so', '[[and]].', '[[most]]', 'food', 'in', 'the', '[[night]]!']",3,11,27.27272727272727
a classic. nothing [[else]] to say,a classic. nothing [[to]] to say,0.0056180357933044,0.999726176261902,1,0,1,13,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['a', 'classic.', 'nothing', '[[to]]', 'to', 'say']",1,6,16.666666666666664
"This place holds a nostalgic appeal for people born and raised in Pittsburgh who grew up eating here. If that experience is what your looking for, please visit. If you're looking for a tasty meal, go somewhere else. 5 stars for history, [[0]] for food quality and flavor.","This place holds a nostalgic appeal for people born and raised in Pittsburgh who grew up eating here. If that experience is what your looking for, please visit. If you're looking for a tasty meal, go somewhere else. 5 stars for history, [[a]] for food quality and flavor.",0.0008853077888488,0.9354625940322876,0,1,0,55,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['This', 'place', 'holds', 'a', 'nostalgic', 'appeal', 'for', 'people', 'born', 'and', 'raised', 'in', 'Pittsburgh', 'who', 'grew', 'up', 'eating', 'here.', 'If', 'that', 'experience', 'is', 'what', 'your', 'looking', 'for,', 'please', 'visit.', 'If', ""you're"", 'looking', 'for', 'a', 'tasty', 'meal,', 'go', 'somewhere', 'else.', '5', 'stars', 'for', 'history,', '[[a]]', 'for', 'food', 'quality', 'and', 'flavor.']",1,48,2.083333333333333
[[love]] the lobster roll.  buttery [[delicious]] stuff.  the crab/spin/artichoke dip was also [[yummy]].  [[i'll]] go [[back]] and try other [[dishes]].  so [[far]] so good,[[miss]] the lobster roll.  buttery [[french]] stuff.  the crab/spin/artichoke dip was also [[good]]..  [[ithel]] go [[home]] and try other [[ways]].  so [[gone]] so good,0.0001449584960937,0.7380070090293884,1,0,1,78,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[miss]]', 'the', 'lobster', 'roll.', 'buttery', '[[french]]', 'stuff.', 'the', 'crab/spin/artichoke', 'dip', 'was', 'also', '[[good]]..', '[[ithel]]', 'go', '[[home]]', 'and', 'try', 'other', '[[ways]].', 'so', '[[gone]]', 'so', 'good']",5,24,20.833333333333336
The people aren't lying. This lobster roll is drenched in butter and guaranteed to be a key [[contributor]] in your untimely death. You better love it or leave it alone.,The people aren't lying. This lobster roll is drenched in butter and guaranteed to be a key [[factor]] in your untimely death. You better love it or leave it alone.,0.0010144114494323,0.5104386806488037,1,0,1,38,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['The', 'people', ""aren't"", 'lying.', 'This', 'lobster', 'roll', 'is', 'drenched', 'in', 'butter', 'and', 'guaranteed', 'to', 'be', 'a', 'key', '[[factor]]', 'in', 'your', 'untimely', 'death.', 'You', 'better', 'love', 'it', 'or', 'leave', 'it', 'alone.']",1,30,3.3333333333333335
"[[Worst]] [[Brazilian]] [[wax]] [[I]] have ever gotten. Extremely Painful and inefficient, still had a red [[welt]] 3 days later. She also [[used]] the same [[stick]] the [[entire]] [[time]] which is not sanitary. Eyebrow waxing is significantly [[overpriced]] at $18. Do not go here for waxing!","[[best]] [[bahia]] [[plaster]] [[we]] have ever gotten. Extremely Painful and inefficient, still had a red [[wespot]] 3 days later. She also [[took]] the same [[cane]] the [[most]] [[day]] which is not sanitary. Eyebrow waxing is significantly [[overpravailablet]] at $18. Do not go here for waxing!",0.0001499652862548,0.7468480467796326,0,1,0,123,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[best]]', '[[bahia]]', '[[plaster]]', '[[we]]', 'have', 'ever', 'gotten.', 'Extremely', 'Painful', 'and', 'inefficient,', 'still', 'had', 'a', 'red', '[[wespot]]', '3', 'days', 'later.', 'She', 'also', '[[took]]', 'the', 'same', '[[cane]]', 'the', '[[most]]', '[[day]]', 'which', 'is', 'not', 'sanitary.', 'Eyebrow', 'waxing', 'is', 'significantly', '[[overpravailablet]]', 'at', '$18.', 'Do', 'not', 'go', 'here', 'for', 'waxing!']",10,45,22.22222222222222
"The cheese counter and \""""Dear Heart\"""" really are [[treasures]].  [[They]] have all manner of fancy aged [[gruyeres]], [[tons]] of [[olives]], and even some sort of disgusting concoction called \""""pepperoni cheese\"""".  In any case, the place is all [[kinds]] of old-world beautiful.  Shelf after shelf of yummy goods, Italian imports...yum.","The cheese counter and \""""Dear Heart\"""" really are [[museums]].  [[them]] have all manner of fancy aged [[cheeseuyribs]], [[pounds]] of [[oliveproducts]], and even some sort of disgusting concoction called \""""pepperoni cheese\"""".  In any case, the place is all [[sort]] of old-world beautiful.  Shelf after shelf of yummy goods, Italian imports...yum.",0.0001544952392578,0.6561577916145325,1,0,1,93,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['The', 'cheese', 'counter', 'and', '\\""""Dear', 'Heart\\""""', 'really', 'are', '[[museums]].', '[[them]]', 'have', 'all', 'manner', 'of', 'fancy', 'aged', '[[cheeseuyribs]],', '[[pounds]]', 'of', '[[oliveproducts]],', 'and', 'even', 'some', 'sort', 'of', 'disgusting', 'concoction', 'called', '\\""""pepperoni', 'cheese\\"""".', 'In', 'any', 'case,', 'the', 'place', 'is', 'all', '[[sort]]', 'of', 'old-world', 'beautiful.', 'Shelf', 'after', 'shelf', 'of', 'yummy', 'goods,', 'Italian', 'imports...yum.']",3,49,6.122448979591836
"[[Get]] the pasta [[trio]], you won't regret it.  Big [[heaping]] portions of [[fresh]] [[pasta]] delivered to your [[plate]] as soon as you have space available. [[Mmm]].  And we went on a Saturday [[night]] with no [[reservations]] and [[we're]] seated in 5 [[minutes]].","[[have]] the pasta [[company]], you won't regret it.  Big [[heaped]] portions of [[it]] [[cooked]] delivered to your [[dinner]] as soon as you have space available. [[eh]].  And we went on a Saturday [[floor]] with no [[guests]] and [[we'm]] seated in 5 [[moments]].",0.000144600868225,0.9943727254867554,1,0,1,128,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[have]]', 'the', 'pasta', '[[company]],', 'you', ""won't"", 'regret', 'it.', 'Big', '[[heaped]]', 'portions', 'of', '[[it]]', '[[cooked]]', 'delivered', 'to', 'your', '[[dinner]]', 'as', 'soon', 'as', 'you', 'have', 'space', 'available.', '[[eh]].', 'And', 'we', 'went', 'on', 'a', 'Saturday', '[[floor]]', 'with', 'no', '[[guests]]', 'and', ""[[we'm]]"", 'seated', 'in', '5', '[[moments]].']",8,42,19.047619047619047
"[[Great]] [[location]], Front Desk Staff were very personable. Be [[prepared]] to hear [[fireworks]] from PNC Park it is right [[across]] the river. [[There]] is a [[parking]] [[deck]] [[across]] the street with very [[reasonable]] [[rates]]. My husband and [[I]] had a [[great]] [[time]] here.","[[nice]] [[address]], Front Desk Staff were very personable. Be [[alert]] to hear [[artillery]] from PNC Park it is right [[off]] the river. [[have]] is a [[garage]] [[marina]] [[cross]] the street with very [[right]] [[marina]]. My husband and [[was]] had a [[big]] [[party]] here.",0.0001487731933593,0.6979609727859497,1,0,1,150,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[nice]]', '[[address]],', 'Front', 'Desk', 'Staff', 'were', 'very', 'personable.', 'Be', '[[alert]]', 'to', 'hear', '[[artillery]]', 'from', 'PNC', 'Park', 'it', 'is', 'right', '[[off]]', 'the', 'river.', '[[have]]', 'is', 'a', '[[garage]]', '[[marina]]', '[[cross]]', 'the', 'street', 'with', 'very', '[[right]]', '[[marina]].', 'My', 'husband', 'and', '[[was]]', 'had', 'a', '[[big]]', '[[party]]', 'here.']",12,43,27.906976744186046
Really [[poor]] [[service]] and [[way]] overpriced. [[You]] [[could]] make much [[better]] choices.They do not [[keep]] to a high standard of [[service]].\[[nThe]] rooms are not worth the money.,Really [[great]] [[quality]] and [[not]] overpriced. [[come]] [[should]] make much [[different]] choices.They do not [[do]] to a high standard of [[function]].\[[ntyour]] rooms are not worth the money.,0.0001509189605712,0.9224371314048768,0,1,0,88,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Really', '[[great]]', '[[quality]]', 'and', '[[not]]', 'overpriced.', '[[come]]', '[[should]]', 'make', 'much', '[[different]]', 'choices.They', 'do', 'not', '[[do]]', 'to', 'a', 'high', 'standard', 'of', '[[function]].\\[[ntyour]]', 'rooms', 'are', 'not', 'worth', 'the', 'money.']",8,27,29.629629629629626
A [[friendly]] place with [[great]] [[seafood]].  [[It]] is [[cash]] only. The clam chowder was meaty and [[creamy]].  The [[onion]] [[rings]] were [[crispy]] and so was the fish. A nice [[place]] to see local flair,A [[common]] place with [[few]] [[fishermen]].  [[this]] is [[fish]] only. The clam chowder was meaty and [[butter]].  The [[potato]] [[ring]] were [[crisps]] and so was the fish. A nice [[table]] to see local flair,0.0001481771469116,0.7512478828430176,1,0,1,112,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['A', '[[common]]', 'place', 'with', '[[few]]', '[[fishermen]].', '[[this]]', 'is', '[[fish]]', 'only.', 'The', 'clam', 'chowder', 'was', 'meaty', 'and', '[[butter]].', 'The', '[[potato]]', '[[ring]]', 'were', '[[crisps]]', 'and', 'so', 'was', 'the', 'fish.', 'A', 'nice', '[[table]]', 'to', 'see', 'local', 'flair']",8,34,23.52941176470588
"[[Great]] spot for weird or obscure parts, general maintenance items, and to  borrow a wrench or two.  [[Gerry]] is like a wise [[eccentric]] uncle.   I remember going there for my first time in the early 90's and it hasn't changed in almost 20 years.","[[a]] spot for weird or obscure parts, general maintenance items, and to  borrow a wrench or two.  [[this]] is like a wise [[old]] uncle.   I remember going there for my first time in the early 90's and it hasn't changed in almost 20 years.",0.0001472234725952,0.8826779127120972,1,0,1,64,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[a]]', 'spot', 'for', 'weird', 'or', 'obscure', 'parts,', 'general', 'maintenance', 'items,', 'and', 'to', 'borrow', 'a', 'wrench', 'or', 'two.', '[[this]]', 'is', 'like', 'a', 'wise', '[[old]]', 'uncle.', 'I', 'remember', 'going', 'there', 'for', 'my', 'first', 'time', 'in', 'the', 'early', ""90's"", 'and', 'it', ""hasn't"", 'changed', 'in', 'almost', '20', 'years.']",3,44,6.8181818181818175
"The last 3 or so times I've visited, they've been [[closed]] 15 minutes early.\n\nOn the plus side, I've discovered I look damn good with longer [[hair]].","The last 3 or so times I've visited, they've been [[closing]] 15 minutes early.\n\nOn the plus side, I've discovered I look damn good with longer [[style]].",0.0002678036689758,0.9848070740699768,0,1,0,42,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['The', 'last', '3', 'or', 'so', 'times', ""I've"", 'visited,', ""they've"", 'been', '[[closing]]', '15', 'minutes', 'early.\\n\\nOn', 'the', 'plus', 'side,', ""I've"", 'discovered', 'I', 'look', 'damn', 'good', 'with', 'longer', '[[style]].']",1,26,3.8461538461538463
